Folder name,YT link,status
@makhlukmarsofficial,https://www.youtube.com/@makhlukmarsofficial/shorts,done
@Mntw_Lyrics,https://www.youtube.com/@Mntw_Lyrics/shorts,done
@MRsmile_,https://www.youtube.com/@MRsmile_shorts/shorts,used
@MUKindustri,https://www.youtube.com/@MUKindustri/shorts,used
@Neglasari_official,https://www.youtube.com/@Neglasari_official/shorts,used
@ngobrolsehatHQ,https://www.youtube.com/@ngobrolsehatHQ/shorts,used
@Om-Dikki,https://www.youtube.com/@Om-Dikki/shorts,used
@opewcoiser,https://www.youtube.com/@opewcoiser/shorts,used
@PaBol.,https://www.youtube.com/@PaBol./shorts,used
@panggilajaren,https://www.youtube.com/@panggilajaren/shorts,done
